id,name,first_release_date,genres,platforms,rating,rating_count,summary,url
350392,Rival Species,,Shooter,PC (Microsoft Windows),,,"In the far distant future of the 40th millennium behind the stars there is only war. Enter the universe of WARHAMMER 40,000 and play a mighty warrior for one out of an ever growing list of rival species. A large PvP team multiplayer mod for Half-Life that plays similary to Battlefield/Battlefront, based on the Game's Workshop property. Eventually Exterminatus, A sequel for the Source Engine would be made",https://www.igdb.com/games/rival-species
30492,Hearts of Chaos,2017-01-06,"Role-playing (RPG), Strategy, Adventure, Indie",PC (Microsoft Windows),,,"RPG veteran Warfare Studios (Vagrant Hearts, Ashes of Immortality, Shining Plume) is back with a new tale in this exciting, story-driven RPG.",https://www.igdb.com/games/hearts-of-chaos
339266,Power Guy World,2023-08-15,,Super Nintendo Entertainment System,,,"Power Guy World is a 30 exit SMW romhack created by LucasMegaStriker as a tribute to the Vtuber ""Power Guy"".",https://www.igdb.com/games/power-guy-world
371776,Born for the Light: Wavelength Radiant Collapse,,"Adventure, Indie, Visual Novel",PC (Microsoft Windows),,,"Endless world. Endless sky. Endless light. Will the shadows be cast upon all Children dwelling on the Treetops? Regardless, I spread my prosthetic wings, taking a leap of faith.",https://www.igdb.com/games/born-for-the-light-wavelength-radiant-collapse
376989,Dune Buggy,2007-10-30,Racing,Web browser,,,"Dune Buggy is a 2D single player flash racing game. It has a total of 15 levels that the player must make their way through by driving the dune buggy from one end to the other, while avoiding hazards and overcoming obstacles such as high jumps.",https://www.igdb.com/games/dune-buggy
63844,Ace wo Nerae!,1993-12-22,Sport,Super Famicom,52.90462943179914,5,A tennis game for the Super Famicom based on the 1970s manga and anime of the same name.,https://www.igdb.com/games/ace-wo-nerae
371149,The Deal,,,PC (Microsoft Windows),,,A Doom II WAD.,https://www.igdb.com/games/the-deal--2
330684,Nightmare Kart: The Old Karts,,"Racing, Arcade",PC (Microsoft Windows),,,"An upcoming free expansion to Nightmare Kart with a brand new mini-campaign, racers, karts, tracks, power-ups, and game modes.",https://www.igdb.com/games/nightmare-kart-the-old-karts
385280,Five Shifts at Zlata's,,"Point-and-click, Simulator, Adventure, Indie",,,,"Five Shifts at Zlata's is an atmospheric horror night-shift simulator where you play as a security mechanic in a family restaurant hiding dark secrets. Monitor cameras, manage power, restart the generator, and keep the animatronics-mascots away. Survive five shifts… if you can.",https://www.igdb.com/games/five-shifts-at-zlatas
94850,Safecracker,1997-05-01,"Puzzle, Adventure","PC (Microsoft Windows), Mac",,,"As the name implies, this game is all about cracking safes. Within an eccentric millionaire's luxurious mansion, thirty-five safes in all sizes, shapes and colors are hidden. As an applicant for the position of Security Development Chief, you must prove your worthiness by locating and opening every one of the mansion's safes without getting caught by security.

Safecracker is a puzzle game within a graphical setting. Exercise your brain cells and challenge your powers of logic and deduction while solving its mind-bending puzzles. Are you good enough to crack the Granddaddy of all safes?",https://www.igdb.com/games/safecracker--1
152887,BanG Dream! Girls Band Party! for Nintendo Switch,2021-09-16,"Music, Adventure",Nintendo Switch,,,"Popular rhythm game in Japan!
Tap to the rhythm of over 200 songs to choose from.
Play both original and cover songs from popular J-Pop artists and anime songs!
Play your favorite songs on a level of difficulty that suits you!",https://www.igdb.com/games/bang-dream-girls-band-party-for-nintendo-switch
120563,Yokai Dungeon,2019-08-08,"Puzzle, Indie","Android, iOS",,,"Yokai have just interrupted the lantern festival, it's up to Tanuki and his friends to save the day. Push blocks to crush the pesky yokai, explore randomly generated dungeons, and dive into beatiful Japanese folklore.",https://www.igdb.com/games/yokai-dungeon
367989,Electro Havoc,2025-04-19,Indie,PC (Microsoft Windows),,,"Electro Havoc: A retro twin-stick shooter set in a neon-charged battleground where you'll face waves of geometric foes. Lure more enemies into debris fields to trigger chain reactions, and grab power-ups to boost your multipliers.",https://www.igdb.com/games/electro-havoc
138930,Suna no Embrace: Eden no Sato no Never,2000-07-27,Role-playing (RPG),"PlayStation 3, PlayStation, PlayStation Portable",,,A RPG set in a desert fantasy world where water is the most valued resource.,https://www.igdb.com/games/suna-no-embrace-eden-no-sato-no-never
363578,Pica,2025-08-04,Indie,PC (Microsoft Windows),,,"This is a casual jigsaw puzzle game. All you need to do is use the mouse to drag the pieces to the correct positions, and when you complete the puzzle and form a complete picture, you can unlock the picture gallery.",https://www.igdb.com/games/pica
79850,Umineko: Ougon Musou Kyoku - Cross,2011-12-31,Fighting,PC (Microsoft Windows),,,"A tag-team fighting game based around the Umineko no Naku Koro ni universe of visual novels, Cross is the followup to 2010's Ougon Musou Kyoku.

In this version George, Jessica, and Rosa from the Ushiromiya family join the fray.",https://www.igdb.com/games/umineko-ougon-musou-kyoku-cross
9741,Guitar Hero Live,2015-10-20,Music,"PlayStation 3, PlayStation 4, iOS, Wii U, Xbox 360, Xbox One",75.58008168785496,34,"Guitar Hero Live is a music game that served as a reboot of the Guitar Hero franchise, being the first new entry in the series since Warriors of Rock in 2010. Guitar Hero Live introduced major changes to the core gameplay and experience of the Guitar Hero franchise, including a revamped guitar controller with a new, 6-button layout, a new in-game presentation style that utilizes full motion video, simulating a real-world concert setting from the perspective of the guitarist, and a new Guitar Hero TV mode to encompass multiplayer and curated playlists in the style of television music channels.",https://www.igdb.com/games/guitar-hero-live
147000,Cloud Cutter,2021-05-05,"Shooter, Indie, Arcade",PC (Microsoft Windows),,,"Cloud Cutter brings you classic arcade shoot ‘em up gameplay in top notch graphics. Enjoy intense fast-paced explosive action full of epic destruction, arcade style power-ups, lasers and of course huge multi-stage boss fights.",https://www.igdb.com/games/cloud-cutter
274434,Merge Games Horror Bundle,2023-10-27,,"Xbox Series X|S, Xbox One",,,"What do dark Nordic fables, intergalactic cruises and Lovecraftian gore all have in common? Gruesome, gory and ghoulish monsters! Dive into the horror-themed worlds of Bramble: The Mountain King, Morbid: The Seven Acolytes and Slaycation Paradise - if you dare!",https://www.igdb.com/games/merge-games-horror-bundle
130742,Flashy Maze,,,,,,,https://www.igdb.com/games/flashy-maze
94975,Wubble Bubbles,,,,,,,https://www.igdb.com/games/wubble-bubbles
147850,Multi Quiz,2021-03-04,,Nintendo Switch,,,"A great quiz to play alone, with your family or friends! Test your knowledge with this exceptional Multi Quiz game. Our quiz offers not only challenging facts but also funny and interesting knowledge.",https://www.igdb.com/games/multi-quiz
347315,Clash of Weirdos: Card Carnage,2025-06-12,"Puzzle, Role-playing (RPG), Strategy, Adventure","Xbox Series X|S, PlayStation 5, Nintendo Switch",,,Unleash chaos with crazy cards in epic weirdo battles!,https://www.igdb.com/games/clash-of-weirdos-card-carnage
127869,"Fight,to the last",2020-01-19,"Role-playing (RPG), Adventure, Indie",PC (Microsoft Windows),,,"This is a 2D dungeon rogue shooting game. Players can kill enemies to stick a variety of dropped weapons, free combination, through a variety of different combinations to define their own attack mode.",https://www.igdb.com/games/fight-to-the-last
371216,Football Manager Touch 2016,2015-11-25,"Simulator, Sport, Strategy","Linux, Android, PC (Microsoft Windows), iOS, Mac",,,"Football Manager Touch 2016 is a streamlined football management simulation designed for faster play on tablets and computers. It features over 130 real leagues, cross-save compatibility between devices, and the series’ 3D match engine. New additions include Create-a-Club mode, Prozone match analysis, expanded tactical options, and various unlockables, offering a more accessible alternative to the full Football Manager experience.",https://www.igdb.com/games/football-manager-touch-2016
347330,Street Vendor Simulator,2025-06-07,Simulator,Nintendo Switch,,,"Buy, sell, and earn big on the city streets by selling water.",https://www.igdb.com/games/street-vendor-simulator
227130,Soccer Cup 2022,,,,,,,https://www.igdb.com/games/soccer-cup-2022
325939,"DCS World: NS 430 Navigation System for SA342 Gazelle by Eagle Dynamics, Polychop Simulations",2022-01-26,Simulator,PC (Microsoft Windows),,,The NS 430 for the SA342 Gazelle module integrates the NS 430 panel directly into the SA342 Gazelle cockpit (not as a pop-up display).,https://www.igdb.com/games/dcs-world-ns-430-navigation-system-for-sa342-gazelle-by-eagle-dynamics-polychop-simulations
254277,Impossible Stunts,2023-06-30,"Racing, Simulator, Adventure, Indie",PC (Microsoft Windows),,,Prepare for an adrenaline-pumping experience in this racing game of Impossible Stunts!,https://www.igdb.com/games/impossible-stunts
42280,Caravan Shooting Collection,1995-07-07,Shooter,"Satellaview, Super Famicom",,,"Caravan Shooting Collection is a 1995 Super Famicom compilation of classic shoot 'em up games from 1985 to 1987 that were originally released on the Nintendo Entertainment System.

The games include the 1985 Famicom port of Star Force (the Arcade version was originally created by Tecmo, but the home port was developed by Hudson), 1986's Star Soldier and 1987's Hector (a.k.a. Starship Hector).

All three of these games were the subjects of the Hudson All-Japan Caravan Festival, which for a long time hosted a new Hudson shoot 'em up every year and traveled around Japan with competitors in different prefectures attempting to earn the highest scores. The game would then be available for sale shortly before or after the competition, which helped raise its profile.",https://www.igdb.com/games/caravan-shooting-collection
222280,Detective Solitaire: The Ghost Agency 2,2022-10-16,Card & Board Game,PC (Microsoft Windows),,,"Do you like solitaire games? Do you like to solve mysterious riddles, examine clues and catch dangerous criminals, or maybe you have always dreamed of joining the Ghost Agency? Then this game will not leave you indifferent!",https://www.igdb.com/games/detective-solitaire-the-ghost-agency-2
346280,E-Snake,2025-07-27,"Indie, Arcade",e-Reader / Card-e Reader,,,"A phone classic, brought to the E-Reader!

E-Snake contains many levels, modes, secrets and its own achievements!",https://www.igdb.com/games/e-snake
217315,Eonwar,,"Strategy, Indie",,,,"Comfortably paced, match-based strategy with a PvE twist, contrasted with intense physics-based combat. Take direct control of tanks, infantry and ships across space and planetside. Manage your powerful deck of commanders and battle with up to 6 players! Will you rule or unite Omega Centauri?",https://www.igdb.com/games/eonwar
317171,Dance Break Dance,2024-06-04,"Music, Indie, Arcade",Playdate,,,"In Dance Break Dance, it's all about quick reflexes and perfect timing. Spin the crank to make your adorable dancer bust out wild moves, but be sure to stop in time! The faster you crank, the crazier the dance, and the more points you score. Can you keep up with the rhythm and become the cutest dance master?",https://www.igdb.com/games/dance-break-dance
209699,Angkor: Beginnings,2022-07-25,,"Linux, PC (Microsoft Windows), Mac",,,Angkor: Beginnings is a highly re-playable fantasy Match 3 with modern design and aesthetics. The game tells the story of a family trapped on an island with an active volcano. The game also includes mini games and puzzles for variety and extra fun!,https://www.igdb.com/games/angkor-beginnings
10280,Ether Vapor Remaster,2012-09-28,"Shooter, Indie, Arcade",PC (Microsoft Windows),80.0,0,"All hope seems to be lost for the country of Lydia in their war against Caldea, which has a huge advantage in numbers and technology. Into the midst of this war flies an unknown pilot in a prototype fighter... His agenda and the secret to the his awesome firepower will be revealed as he takes on overwhelming numbers of enemy fighters and massive bosses to reach his final objective. 
 
Ether Vapor Remaster is a cinematic 3D arcade shooter and visual treat from developer Edelweiss. Explosions, lasers, ships and backgrounds are breathtakingly rendered. The dynamic camera uses vertical, horizontal and cinematic chase cam views to switch up the action and highlight the drama. Use multi-lock-on to shoot tens of missiles at a time and even blow up an entire battleship in the challenging Bonus Zones.",https://www.igdb.com/games/ether-vapor-remaster
262483,Kitten Tales,2023-08-30,"Platform, Racing, Adventure, Indie",PC (Microsoft Windows),,,"Embark on an exciting quest in Kitten Tales, solve puzzles to find your mother in story mode, and challenge up to 10 players in online races and multiplayer challenges. Do you have what it takes to be the bravest cat?",https://www.igdb.com/games/kitten-tales
324850,Symble,2022-03-22,Puzzle,Web browser,,,"A code-cracking logic game, where players must guess a secret five letter word. Each guess reveals a set of three mystery symbols, and players must use their guesses to determine what each symbol represents in order to decode the secret word.",https://www.igdb.com/games/symble
345882,Prison Escape Simulator: Dig Out,2025-07-25,"Simulator, Adventure, Indie","PC (Microsoft Windows), Mac",,,"Too long in this prison, time to get out of here. Pull the carpet and start digging with a teaspoon. Watch out for the guard, sell him the junk you find. Trade toilet paper with the prisoners. Get better items and improve your stats. Expand the tunnel, use glow sticks and dynamite. Will you escape?",https://www.igdb.com/games/prison-escape-simulator-dig-out
101315,Streamers Company Tycoon,2019-03-13,Simulator,PC (Microsoft Windows),50.0,0,First online streamer agency in this country! A new company! Now face the whole country and recruit company manager!,https://www.igdb.com/games/streamers-company-tycoon--1
2552,Mad Max,2015-09-01,"Shooter, Racing, Adventure","PlayStation 4, Linux, PC (Microsoft Windows), Mac, Xbox One",75.25721353993715,537,"In Mad Max, the player takes on the role of titular character Mad Max; a dangerous melee fighter and can use his attacks to kill almost anyone. His weapon of choice is his shotgun. He is assisted by another man called Chumbucket. Chum mainly works with Max to build and upgrade the Magnum Opus vehicle.

Mad Max will feature a variety of weapons which Max can use to defeat enemies. Though the shotgun is Max's weapon of choice, ammo is scarce, and so melee options are the smarter way to go. The 'thunderstick' is an explosive weapon that can be lanced into an enemy's chest, crackling like a lit dynamite fuse before blowing the victim to smithereens. The Harpoon is also one of Max's favorite weapon though it can only be used in-vehicle with Chum riding along. Max's Magnum Opus can be combined with a speedy V12 engine and powerful ramming ability to destroy enemies's vehicles and weaponry. When simultaneously driving and aiming, the game enters slow-motion and allows you to toggle between targets. Not much is known about the vehicular combat and its features.

Mad Max will feature crafting system which can be used to craft new weapons and tools. Max's garage can also be used to change and modify the car's engines, chassis, wheels, body works including paint treatment and the “shell” of the auto-mobile and the car’s weight and attributes update accordingly. Max can also be upgraded though it's plans hasn't fully been implemented.

Many choices are given in the game, such as, either playing silently or aggressively. Max can also get guidance from Chum about how he can complete his objectives strategically. However, its largely up to the player how he can complete the objectives.",https://www.igdb.com/games/mad-max
28850,Alleykat,1986-12-31,"Shooter, Racing, Arcade",Commodore C64/128/MAX,60.0,5,"Alleykat is a vertically-scrolling racer with elements of a shoot-em up game.

The player, a speeder pilot, strives to become the Alleykat Champion by competing in eight space stadiums scattered around the galaxy. Different races like demolition derbies, time-trials, endurance epics and others feature all kinds of obstacles like rocks, pillars, bridges and hard walls, and several types of enemies race along.

The game also features a cooperative two-player-mode.",https://www.igdb.com/games/alleykat
